Perkataan,Asal,Petunjuk,Sebab
سَمَاءٌ,سَمَاوٌ,سَمَا - يَسْمُو - سُمُوٌّ,إبدال الواو همزة (التطرف حقيقة)
كِسَاءٌ,كِسَاوٌ,كَسَا - يَكْسُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
أَعْدَاءٌ,أَعْدَاوٌ,عَدُوٌّ (مفرد),إبدال الواو همزة (التطرف حقيقة)
رِضَاءٌ,رِضَاوٌ,رَضِيَ - يَرْضَى - رِضْوَانٌ,إبدال الواو همزة (التطرف حقيقة)
عَلَاءٌ,عَلَاوٌ,عَلَا - يَعْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غَلَاءٌ,غَلَاوٌ,غَلَا - يَعْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غِذَاءٌ,غِذَاوٌ,غَذَا - يَغْذُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
نَمَاءٌ,نَمَاوٌ,نَمَا - يَنْمُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
بَلَاءٌ,بَلَاوٌ,بَلَا - يَبْلُو (مضارع),إبدال الواو همزة (التطرف حقيقة)
غَزَّائِينَ,غَزَّاوِينَ,غَزَا - يَغْزُو (مضارع),إبدال الواو همزة (التطرف حكماً)
عَدَّائِينَ,عَدَّاوِينَ,عَدَا - يَعْدُو (مضارع),إبدال الواو همزة (التطرف حكماً)
اِصْطِفَاءَاتٌ,اِصْطِفَاوَاتٌ,صَفَا - يَصْفُو (مضارع),إبدال الواو همزة (التطرف حكماً)
إِصْغَاءَاتٌ,إِصْغَاوَاتٌ,صَغَا - يَصْغُو (مضارع),إبدال الواو همزة (التطرف حكماً)
بِنَاءٌ,بِنَايٌ,بَنَى - يَبْنِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
قَضَاءٌ,قَضَايٌ,قَضَى - يَقْضِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
بُكَاءٌ,بُكَايٌ,بَكَى - يَبْكِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
شِفَاءٌ,شِفَايٌ,شَفَى - يَشْفِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
ثَنَاءٌ,ثَنَايٌ,ثَنَى - يَثْنِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
هِدَاءٌ,هِدَايٌ,هَدَى - يَهْدِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
رِثَاءٌ,رِثَايٌ,رَثَى - يَرْثِي (مضارع),إبدال الياء همزة (التطرف حقيقة)
